id,service_recordid,taxonomy_recordid,taxonomy_id,taxonomy_detail
8163,8202,8163,FT-3000.1750,
8164,8203,8164,RX-0400.1500-150,
8165,8203,8165,RX-0400.1500-180,
8166,8204,8166,BD-1800.2000-640,
8167,8206,8167,RP-5000.1500,
8168,8206,8168,RF-2500,
8169,8206,8169,RF-2000,
8170,8206,8170,TJ-3000.8000,
8171,8206,8171,RM-3300.6600-050,
8172,8207,8172,RX-8450.1150-150,
8173,8207,8173,RX-8450.1150-180,
8174,8207,8174,RF-3300,
8175,8207,8175,RF-2500,
8176,8207,8176,RF-2000,
8177,8209,8177,TJ-4500.1500-450,
8178,8210,8178,DD-1500.8000,
8179,8211,8179,DD-1500.8000,
8180,8212,8180,DD-1500.8000,
8181,8213,8181,DD-1500.8000,
8182,8214,8182,DD-1500.8000,
8183,8215,8183,DD-1500.8000,
8184,8216,8184,BD-1800.2000-640,
8185,8218,8185,JP-6500.6650,
8186,8219,8186,HH-0500.2500-250,
8187,8219,8187,HH-9000.8750,
8188,8219,8188,HL-2500.1500,
8189,8219,8189,ND-6500.9800-250,
8190,8219,8190,HL-8000.8000,
8191,8219,8191,HL-8000.8200,
8192,8219,8192,ND-2000.3500-330,
8193,8220,8193,HH-0500.2500-250,
8194,8220,8194,HH-9000.8750,
8195,8220,8195,HL-2500.1500,
8196,8220,8196,HL-8000.8000,
8197,8220,8197,HL-8000.8200,
8198,8220,8198,ND-2000.3500-330,
8199,8220,8199,ND-6500.9800-250,
8200,8221,8200,LR-6600,
8201,8221,8201,LR-6200,
8202,8221,8202,LR-8000.8000-450,
8203,8221,8203,LR-8000.8000-820,
8204,8221,8204,LR-0450.0500,
8205,8222,8205,TJ-3000.8000,
8206,8223,8206,PH-1250.1400,
8207,8224,8207,TJ-3000.8000,
8208,8225,8208,HD-0500.1700,
8209,8226,8209,RF-3300,
8210,8226,8210,BD-5000.8300,
8211,8226,8211,BD-1800.2000-640,
8212,8227,8212,JR-8000.9500,
8213,8227,8213,TH-2100.9500,
8214,8228,8214,PH-1250.1800,
8215,8228,8215,HL-8700.3000,
8216,8228,8216,HL-8700.8000,
8217,8228,8217,PL-6400.1500-820,
8218,8229,8218,HH-0500.0500,
8219,8229,8219,HH-0500.2500-250,
8220,8229,8220,HH-0500.8000-150,
8221,8229,8221,HH-9000.8750,
8222,8232,8222,DF-4500.2000-130,
8223,8232,8223,JR-8200.1500-150,
8224,8233,8224,PH-1450.7000,
8225,8233,8225,TJ-3000.8000,
8226,8234,8226,RD-1000.1000,
8227,8235,8227,RP-6400.1900,
8228,8235,8228,RD-6800.6500,
8229,8235,8229,RF-3300,
8230,8235,8230,RM-6500.6500,
8231,8235,8231,RX-8450.8000-180,
8232,8235,8232,RX-8450.8000-050,
8233,8236,8233,RX-8450.8000-180,
8234,8236,8234,RP-6400.1900,
8235,8236,8235,RD-6800.6500,
8236,8236,8236,RF-3300,
8237,8236,8237,RX-8450.8000-050,
8238,8236,8238,RM-6500.6500,
8239,8237,8239,LF-7100.2500,
8240,8237,8240,LJ-2000.6500-700,
8241,8237,8241,LJ-2000.6750,
8242,8237,8242,LJ-5000.6600,
8243,8237,8243,PH-6100.1800-250,
8244,8237,8244,PH-6100.6800,
8245,8238,8245,PL-7000.5800-400,
8246,8248,8246,HH-4500.1800,
8247,8249,8247,DM-1500.1500,
8248,8250,8248,DM-1500.1500,
8249,8251,8249,RP-6400.1500,
8250,8251,8250,RP-6400.0200,
8251,8251,8251,RP-6400.2700,
8252,8252,8252,PH-1250.1800,
8253,8252,8253,PL-7400.1500,
8254,8254,8254,PH-2950.3200,
8255,8256,8255,PH-1250.1800,
8256,8257,8256,PH-1250.1800,
8257,8257,8257,PS-9800.9900,
8258,8257,8258,PX,
8259,8258,8259,PH-1250.1800,
8260,8258,8260,PS-9800.9900,
8261,8258,8261,PX,
8262,8261,8262,LN-1500,
8263,8261,8263,LV-7200,
8264,8261,8264,LV-3300.1500,
8265,8261,8265,LV-2400.6350,
8266,8261,8266,LF-4900.2000-900,
8267,8261,8267,LV-1600,
8268,8261,8268,LE,
8269,8261,8269,LF-5280,
8270,8261,8270,LR-6600,
8271,8262,8271,PL-6400.1500-820,
8272,8263,8272,PH-6200.4600,
8273,8263,8273,PS-9800,
8274,8266,8274,TD-1600.1800,
8275,8270,8275,ND-2000.6400,
8276,8273,8276,PH-6100.6800,
8277,8280,8277,HD-0500.1500,
8278,8283,8278,PH-1250.1800,
8279,8285,8279,PH-1250.1800,
8280,8286,8280,PH-1250.1800,
8281,8287,8281,PH-1250.1800,
8282,8288,8282,PH-1250.1800,
8283,8289,8283,PH-1250.1800,
8284,8292,8284,PH-1250.1800,
8285,8293,8285,PH-1250.1800,
8286,8294,8286,PH-1250.1800,
8287,8295,8287,PH-1250.1800,
8288,8298,8288,PH-1250.1800,
8289,8299,8289,PH-1250.1800,
8290,8300,8290,PH-1250.1800,
8291,8303,8291,TJ-3000.8000,
8292,8303,8292,LH-2600,
8293,8303,8293,RX-8470.8600-050,
8294,8303,8294,RX-8470.8600-180,
8295,8303,8295,RR-5150,
8296,8304,8296,LR-6600,
8297,8304,8297,LR-8000.8000-820,
8298,8304,8298,LT-2800.3100-730,
8299,8304,8299,LR-6200,
8300,8304,8300,LT-2800.3100-500,
8301,8304,8301,LT-2800.3100-700,
8302,8305,8302,BH-7000.4600-450,
8303,8306,8303,PL-6400.1500-820,
8304,8307,8304,PL-6400.1500-820,
8305,8308,8305,PN-8100.3000,
8306,8309,8306,PN-8100.3000,
8307,8311,8307,DM-1500.1500,
8308,8311,8308,DM-6500,
8309,8311,8309,LH-3500.0200-330,
8310,8311,8310,ND-2000.1500-160,
8311,8311,8311,NL-1000.8100-820,
8312,8311,8312,NS-1800.8000-820,
8313,8311,8313,DT-8800.9300-930,
8314,8312,8314,PL-6400.1500-820,
8315,8313,8315,PL-6400.1500-820,
8316,8314,8316,PH-1250.1800,
8317,8314,8317,PL-6400.1500-820,
8318,8315,8318,PH-1250.1800,
8319,8315,8319,PL-6400.1500-820,
8320,8316,8320,PL-6400.1500-820,
8321,8317,8321,PL-6400.1500-820,
8322,8318,8322,PL-6400.1500-820,
8323,8319,8323,LT-1750.0500,
8324,8320,8324,LH-6600,
8325,8320,8325,LT-1750.0500,
8326,8320,8326,LF-4900.2400-150,
8327,8322,8327,DM-1500.1500,
8328,8323,8328,PL-6400.1500-820,
8329,8325,8329,TJ-6500.6300,
8330,8326,8330,LR-6600,
8331,8326,8331,LR-6200.6500,
8332,8326,8332,LR-8000.8000-820,
8333,8327,8333,HH-0500.8000-150,
8334,8327,8334,HH-4500.0500,
8335,8328,8335,BD-1800.8200-250,
8336,8328,8336,BM-6500.1500-150,
8337,8328,8337,BM-6500.1500-100,
8338,8328,8338,LF-7300.2000-260,
8339,8328,8339,LJ-2000.6750,
8340,8328,8340,PH-6100.1800-250,
8341,8328,8341,RP-1400.8000-650,
8342,8329,8342,RP-1400.8000-650,
8343,8329,8343,BM-6500.1500-150,
8344,8329,8344,BM-6500.1500-100,
8345,8329,8345,BD-1800.8200-250,
8346,8329,8346,LF-7300.2000-260,
8347,8329,8347,LJ-2000.6750,
8348,8329,8348,PH-6100.1800-250,
8349,8335,8349,BH-7000.4600-700,
8350,8336,8350,FC-8200.8100-920,
8351,8337,8351,RF-3300,
8352,8337,8352,RF-2000,
8353,8337,8353,RF-1500,
8354,8337,8354,RF-2500,
8355,8338,8355,RX-8450.7900,
8356,8339,8356,RX-8450.7900,
8357,8340,8357,RX-8450.7900,
8358,8341,8358,RX-8450.7900,
8359,8343,8359,RX-8450.7900,
8360,8344,8360,RP-1500.1400-250,
8361,8348,8361,LF-4900.1670,
8362,8348,8362,LF-4900.2000-900,
8363,8348,8363,LH-2700.0150,
8364,8348,8364,LV-1600,
8365,8348,8365,LV-2400.6350,
8366,8348,8366,LV-2600,
8367,8348,8367,LV-6000,
8368,8348,8368,LV-6800,
8369,8348,8369,LV-7200,
8370,8348,8370,PH-1000,
8371,8348,8371,RX-8450.1150-150,
